Provinsi_Clean,Tahun,Persentase_Penduduk_Miskin,IPM,Rata_Rata_Lama_Sekolah,IPM_Norm,RLS_Norm,Prediksi_Kemiskinan_AI,Score_Poverty,Score_IPM_Inv,Score_RLS_Inv,Skor_Prioritas_Bansos
ACEH,2019,15.32,71.9,9.18,0.5061837455830394,0.5227272727272727,13.305199999999996,0.4925187032418952,0.49381625441696064,0.4772727272727273,0.48985877340058126
ACEH,2020,14.99,71.99,9.33,0.5101590106007068,0.5537190082644627,13.041800000000002,0.4788029925187032,0.4898409893992932,0.44628099173553726,0.475609991426247
ACEH,2021,15.33,72.18,9.37,0.5185512367491172,0.5619834710743801,13.796000000000003,0.4929343308395676,0.4814487632508828,0.43801652892561993,0.47850510018017267
ACEH,2022,14.64,72.8,9.44,0.5459363957597176,0.5764462809917354,12.700700000000001,0.4642560266001662,0.45406360424028236,0.42355371900826455,0.45305783837382074
ACEH,2023,14.45,73.4,9.55,0.5724381625441701,0.5991735537190084,12.487000000000013,0.4563591022443889,0.4275618374558299,0.4008264462809916,0.43661339161514173
ACEH,2024,14.23,74.03,9.64,0.6002650176678448,0.6177685950413225,11.563200000000004,0.4472152950955942,0.3997349823321552,0.38223140495867747,0.41997442323917916
BALI,2019,3.79,75.38,8.84,0.6598939929328624,0.4524793388429751,4.020600000000002,0.01330008312551953,0.34010600706713756,0.5475206611570249,0.218185975914306
BALI,2020,3.78,75.5,8.95,0.6651943462897529,0.4752066115702478,3.9664999999999946,0.012884455527847033,0.33480565371024706,0.5247933884297522,0.2118426015629481
BALI,2021,4.53,75.69,9.06,0.6735865724381629,0.4979338842975207,4.333699999999991,0.04405652535328344,0.3264134275618371,0.5020661157024793,0.22036551408568872
BALI,2022,4.57,76.44,9.39,0.706713780918728,0.5661157024793391,4.732199999999997,0.045719035743973374,0.29328621908127195,0.43388429752066093,0.19762224310050047
BALI,2023,4.25,77.1,9.45,0.7358657243816253,0.5785123966942147,4.5615000000000006,0.032418952618453845,0.26413427561837466,0.4214876033057853,0.17974727965589637
BALI,2024,4.0,77.76,9.54,0.7650176678445235,0.5971074380165289,4.2795000000000005,0.022028262676641708,0.23498233215547648,0.4028925619834711,0.16208734338165803
