Provinsi;Tahun;Persentase_Penduduk_Miskin;IPM;Rata_Rata_Lama_Sekolah
NUSA TENGGARA TIMUR;2022;20.05;65.9;7.7
PAPUA;2022;26.56;71.76;7.02
PAPUA BARAT;2022;21.33;65.16;7.84
RIAU;2022;6.78;73.52;9.22
SULAWESI BARAT;2022;11.75;66.92;8.08
SULAWESI SELATAN;2022;8.63;72.82;8.63
SULAWESI TENGAH;2022;12.33;70.28;8.89
SULAWESI TENGGARA;2022;11.17;72.23;9.25
SULAWESI UTARA;2022;7.28;73.81;9.68
SUMATERA BARAT;2022;5.92;73.26;9.18
SUMATERA SELATAN;2022;11.9;70.9;8.37
SUMATERA UTARA;2022;8.42;72.71;9.71
ACEH;2023;14.45;73.4;9.55
BALI;2023;4.25;77.1;9.45
BANTEN;2023;6.17;73.87;9.15
BENGKULU;2023;14.04;72.78;9.03
DI YOGYAKARTA;2023;11.04;81.07;9.83
DKI JAKARTA;2023;4.44;82.46;11.45
GORONTALO;2023;15.15;70.45;8.1
JAMBI;2023;7.58;72.77;8.81
JAWA BARAT;2023;7.62;73.74;8.83
JAWA TENGAH;2023;10.77;73.39;8.01
JAWA TIMUR;2023;10.35;73.38;8.11
KALIMANTAN BARAT;2023;6.71;69.41;7.71
KALIMANTAN SELATAN;2023;4.29;72.5;8.55
KALIMANTAN TENGAH;2023;5.11;72.2;8.73
KALIMANTAN TIMUR;2023;6.11;78.2;9.99
KALIMANTAN UTARA;2023;6.45;72.49;9.34
KEP. BANGKA BELITUNG;2023;4.52;72.85;8.25
KEPULAUAN RIAU;2023;5.69;77.11;10.41
LAMPUNG;2023;11.11;71.15;8.29
MALUKU;2023;16.42;70.94;10.2
MALUKU UTARA;2023;6.46;70.21;9.26
NUSA TENGGARA BARAT;2023;13.85;70.2;7.74
NUSA TENGGARA TIMUR;2023;19.96;66.68;7.82
PAPUA;2023;26.03;72.41;7.15
PAPUA BARAT;2023;20.49;66.16;7.93
RIAU;2023;6.68;74.04;9.32
SULAWESI BARAT;2023;11.49;67.55;8.13
SULAWESI SELATAN;2023;8.7;73.46;8.76
SULAWESI TENGAH;2023;12.41;70.95;8.96
SULAWESI TENGGARA;2023;11.43;72.79;9.31
SULAWESI UTARA;2023;7.38;74.36;9.77
SUMATERA BARAT;2023;5.95;73.75;9.28
SUMATERA SELATAN;2023;11.78;71.62;8.5
SUMATERA UTARA;2023;8.15;73.37;9.82
ACEH;2024;14.23;74.03;9.64
BALI;2024;4.0;77.76;9.54
BANTEN;2024;5.84;74.48;9.23
BENGKULU;2024;13.56;73.39;9.04
DI YOGYAKARTA;2024;10.83;81.55;9.92
DKI JAKARTA;2024;4.3;83.08;11.49
GORONTALO;2024;14.57;71.23;8.29
JAMBI;2024;7.1;73.43;8.9
JAWA BARAT;2024;7.46;74.43;8.87
JAWA TENGAH;2024;10.47;73.88;8.02
JAWA TIMUR;2024;9.79;74.09;8.28
KALIMANTAN BARAT;2024;6.32;70.13;7.78
KALIMANTAN SELATAN;2024;4.11;73.03;8.62
KALIMANTAN TENGAH;2024;5.17;72.73;8.81
KALIMANTAN TIMUR;2024;5.78;78.83;10.02
KALIMANTAN UTARA;2024;6.32;73.02;9.35
KEP. BANGKA BELITUNG;2024;4.55;73.33;8.33
KEPULAUAN RIAU;2024;5.37;77.97;10.5
LAMPUNG;2024;10.69;71.81;8.36
MALUKU;2024;16.05;71.57;10.26
MALUKU UTARA;2024;6.32;71.03;9.37
NUSA TENGGARA BARAT;2024;12.91;70.93;7.87
NUSA TENGGARA TIMUR;2024;19.48;67.39;8.02
PAPUA;2024;17.26;73.0;9.82
PAPUA BARAT;2024;21.66;67.02;7.86
PAPUA BARAT DAYA;2024;18.13;68.63;8.39
PAPUA PEGUNUNGAN;2024;32.97;53.42;4.21
PAPUA SELATAN;2024;17.44;67.9;8.38
PAPUA TENGAH;2024;29.76;59.75;6.12
RIAU;2024;6.67;74.79;9.43
SULAWESI BARAT;2024;11.21;68.2;8.15
SULAWESI SELATAN;2024;8.06;74.05;8.86
SULAWESI TENGAH;2024;11.77;71.56;9.04
SULAWESI TENGGARA;2024;11.21;73.48;9.42
SULAWESI UTARA;2024;7.25;75.03;9.84
SUMATERA BARAT;2024;5.97;74.49;9.44
SUMATERA SELATAN;2024;10.97;72.3;8.57
SUMATERA UTARA;2024;7.99;74.02;9.93
