Provinsi,Tahun,Persentase_Penduduk_Miskin,IPM,Rata_Rata_Lama_Sekolah,IPM_Norm,RLS_Norm,Prediksi_Kemiskinan_AI,Score_Poverty,Score_IPM_Inv,Score_RLS_Inv,Skor_Prioritas_Bansos
ACEH,2019,15.32,71.9,9.18,0.6230613621038439,0.6826923076923075,13.313199999999997,0.4016949152542373,0.3769386378961561,0.3173076923076925,0.377390587457504
ACEH,2020,14.99,71.99,9.33,0.6260957518543491,0.7032967032967032,13.307200000000002,0.39050847457627114,0.37390424814565093,0.29670329670329676,0.3667661710724902
ACEH,2021,15.33,72.18,9.37,0.6325016857720838,0.7087912087912085,13.5341,0.40203389830508474,0.36749831422791623,0.2912087912087915,0.36950820166267556
ACEH,2022,14.64,72.8,9.44,0.6534052596089006,0.7184065934065933,12.609600000000006,0.3786440677966102,0.3465947403910994,0.2815934065934067,0.34961913733431627
ACEH,2023,14.45,73.4,9.55,0.6736345246122728,0.7335164835164836,12.361900000000007,0.3722033898305085,0.3263654753877272,0.2664835164835164,0.33730804082827565
ACEH,2024,14.23,74.03,9.64,0.6948752528658126,0.7458791208791209,11.523600000000004,0.36474576271186443,0.30512474713418736,0.2541208791208791,0.32473448132036425
BALI,2019,3.79,75.38,8.84,0.7403910991233984,0.635989010989011,4.019100000000002,0.01084745762711864,0.2596089008766016,0.36401098901098905,0.1561085968787376
BALI,2020,3.78,75.5,8.95,0.744436952124073,0.651098901098901,3.9932999999999943,0.010508474576271187,0.255563047875927,0.348901098901099,0.1517033714311335
BALI,2021,4.53,75.69,9.06,0.7508428860418073,0.6662087912087913,4.410999999999991,0.035932203389830525,0.24915711395819273,0.3337912087912087,0.1594714776406148
BALI,2022,4.57,76.44,9.39,0.7761294672960213,0.7115384615384615,4.763399999999996,0.037288135593220334,0.22387053270397872,0.28846153846153855,0.1434975353001115
BALI,2023,4.25,77.1,9.45,0.7983816587997301,0.7197802197802197,4.572,0.026440677966101694,0.2016183412002699,0.28021978021978033,0.12974979738708786
BALI,2024,4.0,77.76,9.54,0.8206338503034389,0.732142857142857,4.6714,0.01796610169491525,0.17936614969656106,0.267857142857143,0.11636432432785454
BANTEN,2019,5.09,72.44,8.74,0.6412677006068777,0.6222527472527473,5.538299999999997,0.05491525423728813,0.35873229939312234,0.37774725274725274,0.21062676748603132
BANTEN,2020,5.92,72.45,8.89,0.6416048550236011,0.6428571428571428,6.428199999999997,0.08305084745762711,0.3583951449763989,0.3571428571428572,0.2204725386503047
BANTEN,2021,6.66,72.72,8.93,0.650708024275118,0.6483516483516483,6.8459,0.10813559322033897,0.349291975724882,0.35164835164835173,0.22918505965730446
BANTEN,2022,6.16,73.32,9.13,0.6709372892784893,0.6758241758241759,6.177100000000003,0.09118644067796611,0.3290627107215107,0.32417582417582413,0.20914719839060109
BANTEN,2023,6.17,73.87,9.15,0.6894807821982469,0.6785714285714286,6.406399999999995,0.09152542372881356,0.31051921780175307,0.3214285714285714,0.20320419149064697
BANTEN,2024,5.84,74.48,9.23,0.7100472016183412,0.6895604395604396,5.938299999999995,0.08033898305084744,0.28995279838165877,0.31043956043956045,0.18924324312783344
BENGKULU,2019,15.23,71.21,8.73,0.5997977073499661,0.6208791208791209,12.577000000000007,0.3986440677966101,0.40020229265003393,0.3791208791208791,0.39520689751749105
BENGKULU,2020,15.03,71.4,8.84,0.6062036412677008,0.635989010989011,13.866799999999985,0.39186440677966095,0.39379635873229923,0.36401098901098905,0.38687330881171805
BENGKULU,2021,15.22,71.64,8.87,0.6142953472690491,0.6401098901098898,14.11020000000001,0.39830508474576265,0.3857046527309509,0.35989010989011017,0.3868419601701886
BENGKULU,2022,14.62,72.16,8.91,0.6318273769386378,0.6456043956043955,13.164299999999992,0.3779661016949152,0.3681726230613622,0.35439560439560447,0.3703139586449872
BENGKULU,2023,14.04,72.78,9.03,0.6527309507754551,0.662087912087912,11.891399999999987,0.3583050847457627,0.34726904922454493,0.33791208791208804,0.35091567472266244
BENGKULU,2024,13.56,73.39,9.04,0.6732973701955494,0.6634615384615383,11.189999999999982,0.3420338983050848,0.32670262980445064,0.3365384615384617,0.33633543040156993
DI YOGYAKARTA,2019,11.7,79.99,9.38,0.8958192852326363,0.7101648351648351,11.029400000000015,0.27898305084745756,0.10418071476736368,0.2898351648351649,0.22871277282097086
DI YOGYAKARTA,2020,12.28,79.97,9.55,0.8951449763991908,0.7335164835164836,11.797999999999993,0.2986440677966101,0.10485502360080923,0.2664835164835164,0.23407524427525112
